doc_index,entity_text,label
004,Principal Market,DEFINED_TERM
006,Closing,DEFINED_TERM
006,Closing Date,DEFINED_TERM
016,Base Salary,DEFINED_TERM
018,New York,GOVERNING_LAW
023,California,GOVERNING_LAW
026,Damages,DEFINED_TERM
033,NEW YORK,GOVERNING_LAW
036,Moving Party,DEFINED_TERM
046,New York,GOVERNING_LAW
048,Leases,DEFINED_TERM
055,Transaction Expenses,DEFINED_TERM
067,Indemnifying Party,DEFINED_TERM
069,Board,DEFINED_TERM
089,Michigan,GOVERNING_LAW
096,Delaware,GOVERNING_LAW
099,New York,GOVERNING_LAW
093,Indemnitor,DEFINED_TERM
093,Indemnitee,DEFINED_TERM
